FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,Field1,Field2,Field3,Field4,Field5,Field6,Distance
785,809,6/29/2011,0.372824074,28.33743333000,-94.10036667000,23,-94.08000000000,,28.33000000000,,,0.22000000000,0.02168077
786,810,6/29/2011,0.373460648,28.32233333000,-94.07725000000,23,-94.08000000000,,28.33000000000,,,0.22000000000,0.00814496
787,811,6/29/2011,0.375381944,28.32475000000,-93.97710000000,24,-94.01000000000,,28.33000000000,,,0.22000000000,0.03331625
788,812,6/29/2011,0.3771875,28.35021937000,-93.88011744000,26,-93.87000000000,,28.33000000000,,,0.22000000000,0.02260941
880,903,6/29/2011,0.495833333,28.35823700000,-93.56702746000,30,-93.59000000000,,28.33000000000,,,0.22000000000,0.03640145
1553,1592,7/1/2011,0.417384259,27.62072222000,-93.08015556000,37,-93.10000000000,,28.33000000000,,,0.23000000000,0.70955533
164,808,6/29/2011,0.3721875,28.36845457000,-94.09681936000,77,-94.08000000000,,28.40000000000,,,0.24000000000,0.03574920
789,813,6/29/2011,0.378263889,28.39030000000,-93.85068333000,80,-93.87000000000,,28.40000000000,,,0.24000000000,0.02161536
877,900,6/29/2011,0.49375,28.39028333000,-93.66176667000,83,-93.66000000000,,28.40000000000,,,0.24000000000,0.00987597
878,901,6/29/2011,0.49380787,28.38166667000,-93.63970000000,83,-93.66000000000,,28.40000000000,,,0.24000000000,0.02735326
879,902,6/29/2011,0.494490741,28.37494828000,-93.61348684000,84,-93.59000000000,,28.40000000000,,,0.24000000000,0.03433978
881,904,6/29/2011,0.496527778,28.37348333000,-93.53086667000,85,-93.52000000000,,28.40000000000,,,0.24000000000,0.02865691
882,905,6/29/2011,0.498657407,28.38695000000,-93.41551667000,86,-93.45000000000,,28.40000000000,,,0.23000000000,0.03687008
883,906,6/29/2011,0.5,28.43203560000,-93.42029971000,86,-93.45000000000,,28.40000000000,,,0.23000000000,0.04368509
733,754,6/28/2011,0.448611111,28.42701667000,-93.36696667000,87,-93.38000000000,,28.40000000000,,,0.23000000000,0.02999614
734,755,6/28/2011,0.449305556,28.43466667000,-93.41325000000,87,-93.38000000000,,28.40000000000,,,0.23000000000,0.04803478
628,636,6/28/2011,0.334733796,28.41943333000,-92.53520000000,99,-92.54000000000,,28.40000000000,,,0.22000000000,0.02001735
627,635,6/28/2011,0.333738426,28.40560481000,-92.48221133000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.01343616
626,634,6/28/2011,0.331956019,28.41072976000,-92.38198477000,101,-92.40000000000,,28.40000000000,,,0.22000000000,0.02096846
625,633,6/28/2011,0.331481481,28.41201667000,-92.35461667000,102,-92.33000000000,,28.40000000000,,,0.22000000000,0.02739308
951,975,6/29/2011,0.091944444,28.42060000000,-92.33668333000,102,-92.33000000000,,28.40000000000,,,0.22000000000,0.02165703
952,976,6/29/2011,0.092905093,28.41278333000,-92.29823333000,102,-92.33000000000,,28.40000000000,,,0.22000000000,0.03424230
953,977,6/29/2011,0.093553241,28.40478144000,-92.26842832000,103,-92.26000000000,,28.40000000000,,,0.22000000000,0.00969014
954,978,6/29/2011,0.093831019,28.41005000000,-92.25581667000,103,-92.26000000000,,28.40000000000,,,0.22000000000,0.01088590
955,979,6/29/2011,0.095347222,28.42419200000,-92.18276960000,104,-92.19000000000,,28.40000000000,,,0.22000000000,0.02524939
