id,a_lat,a_lon,Identifyin,,dist_shore
176,28.605,-91.359,548,,60.3
177,28.608,-91.345,549,,59.1
178,28.611,-91.338,550,,58.4
179,28.613,-91.569,1406,,68.3
180,28.614,-91.273,1200,,54.1
181,28.619,-91.413,544,,62.3
182,28.62,-91.341,160,,57.9
183,28.623,-91.285,1201,,54.1
184,28.624,-91.527,1407,,65.5
185,28.633,-91.321,1203,,55.7
186,28.634,-91.412,543,,60.8
187,28.636,-91.32,161,,55.4
188,28.646,-91.407,542,,59.5
189,28.647,-91.535,1408,,63.8
190,28.657,-91.534,1411,,62.8
191,28.657,-91.396,541,,58.2
192,28.665,-91.381,162,,57.1
193,28.666,-91.323,1208,,53.3
194,28.668,-91.517,1413,,61.1
195,28.671,-91.538,1412,,61.7
196,28.424,-90.86,482,,62
197,28.431,-90.684,112,,61
198,28.434,-90.823,114,,60.7
199,28.435,-90.86,481,,60.9
200,28.438,-90.675,1111,,60.5
201,28.444,-90.85,480,,60
202,28.448,-90.669,1109,,59.5
203,28.449,-90.778,1119,,58.9
204,28.449,-90.707,1110,,59
205,28.454,-90.883,116,,59
206,28.459,-90.878,478,,58.5
207,28.46,-90.884,477,,58.4
208,28.462,-90.899,476,,58.2
209,28.465,-90.781,479,,57.3
210,28.469,-90.892,117,,57.5
211,28.475,-90.848,118,,56.9
212,28.482,-90.767,1121,,55.6
213,28.484,-90.875,475,,56
214,28.499,-90.761,1122,,53.9
215,28.512,-90.774,1125,,52.6
216,28.514,-90.673,1107,,53
217,28.519,-90.715,109,,52
218,28.529,-90.681,1106,,51.4
219,28.536,-90.776,108,,50.2
220,28.564,-90.805,1137,,47.6
221,28.574,-90.806,1139,,46.6
222,28.615,-90.454,88,,42.9
223,28.42,-89.838,1005,,65.3
224,28.459,-90.418,85,,58.5
225,28.519,-90.26,84,,53.6
226,28.648,-89.672,341,,37.2
227,28.652,-89.675,342,,37.1
228,28.658,-89.689,343,,37.7
229,28.437,-88.914,340,,60.1
230,28.686,-92.964,727,,94.4
231,28.783,-93.064,1581,,89.3
232,28.794,-92.958,1579,,84.1
233,28.866,-92.956,1577,,77.4
234,28.9,-93.191,765,,82.9
235,28.931,-93.198,766,,80.3
236,28.7,-92.645,1685,,87.4
237,28.709,-92.449,643,,82.9
238,28.772,-92.628,671,,80.2
239,28.881,-92.337,1738,,64.1
240,28.683,-91.692,1243,,69.1
241,28.695,-91.72,1394,,69.9
242,28.756,-92.148,964,,77.3
243,28.815,-91.667,587,,57.4
244,28.867,-91.668,1389,,52.8
245,28.877,-92.253,1292,,64.2
246,28.877,-91.69,1388,,52.8
247,28.914,-92.175,1288,,61.3
248,28.674,-91.323,534,,52.7
249,28.675,-91.376,540,,56
250,28.677,-91.327,1209,,52.7
251,28.682,-91.365,539,,54.8
252,28.684,-91.361,538,,54.4
253,28.686,-91.517,1415,,59.5
254,28.686,-91.356,537,,53.9
255,28.688,-91.352,536,,53.5
256,28.689,-91.35,535,,53.3
257,28.705,-91.515,1418,,57.7
258,28.764,-91.359,1222,,46.9
259,28.805,-91.336,1224,,42.4
260,28.811,-91.641,1392,,56
261,28.935,-91.12,519,,19.6
262,28.722,-90.855,124,,32.2
263,28.79,-90.462,302,,25.5
264,28.875,-90.712,438,,16.8
265,28.698,-90.255,82,,36.4
266,28.702,-90.284,81,,35.2
267,28.714,-90.259,80,,34.8
268,28.722,-90.259,79,,34
269,28.729,-90.196,380,,35.9
270,28.732,-90.231,78,,34.1
271,28.739,-90.11,52,,36.7
272,28.745,-90.112,53,,36.1
273,28.749,-90.154,379,,34.8
274,28.754,-90.115,54,,35.1
275,28.756,-90.115,55,,35
276,28.757,-89.96,357,,41.7
277,28.759,-90.116,56,,34.6
278,28.762,-90.003,356,,39
279,28.773,-89.934,47,,41.2
280,28.791,-90.244,77,,28.2
281,28.805,-90.335,399,,24.2
282,28.812,-89.95,360,,37
283,28.857,-89.857,361,,37.8
284,28.883,-90.04,362,,26.9
285,28.893,-90.144,59,,21
286,28.899,-90.151,60,,20.2
287,28.68,-89.668,304,,34.6
288,28.685,-89.643,339,,32.5
289,28.704,-89.683,338,,34.1
290,28.71,-89.58,301,,26.5
291,28.88,-89.515,299,,10.4
292,28.886,-89.599,4,,18.3
293,28.899,-89.42,295,,2.2
294,28.903,-89.471,296,,5.5
295,28.916,-89.707,306,,28.8
296,28.935,-89.638,6,,21.9
297,28.932,-89.078,292,,9.3
298,28.946,-92.934,1572,,69.1
299,28.949,-92.942,1571,,69.2
300,28.954,-92.944,1570,,68.8
301,28.961,-92.926,1569,,67.5
302,28.965,-92.979,1568,,69.2
303,28.966,-92.933,1567,,67.3
304,28.976,-92.962,1566,,67.5
305,28.978,-92.964,720,,67.4
306,28.98,-93.425,926,,77.6
307,28.985,-92.951,1565,,66.3
308,28.985,-92.924,1563,,65.2
309,28.993,-93.171,769,,73.5
310,28.995,-92.956,719,,65.5
311,28.997,-93.167,770,,73
312,29.005,-93.177,771,,72.6
313,29.006,-93.128,773,,70.8
314,29.007,-93.156,772,,71.7
315,29.021,-92.973,717,,63.8
316,29.021,-92.938,1562,,62.4
317,29.029,-93.023,718,,65
318,29.032,-92.966,716,,62.5
319,29.04,-93.167,775,,69
320,29.053,-92.984,714,,61.3
321,29.061,-92.955,713,,59.5
322,29.087,-93.163,777,,64.5
323,29.094,-92.908,712,,54.5
324,29.105,-92.943,711,,54.9
325,29.114,-92.916,710,,53
326,29.144,-92.951,709,,51.7
327,28.971,-92.792,1338,,62.1
328,28.983,-92.864,1564,,63
329,28.992,-92.725,1334,,58.7
330,29.004,-92.835,1343,,60.1
331,29.004,-92.759,1623,,58.1
332,29.013,-92.806,1343,,58.4
333,29.023,-92.356,1310,,50.3
334,29.171,-92.319,649,,35.1
335,29.183,-92.328,650,,34
336,28.97,-92.121,1287,,56.9
337,28.987,-91.859,453,,49.8
338,29.066,-91.922,1274,,42.9
339,29.066,-91.921,1274,,42.9
340,29.11,-91.917,619,,38.5
341,29.127,-91.909,618,,36.7
342,29.13,-91.726,999,,31.2
343,29.188,-91.884,959,,30.2
344,29.19,-91.893,960,,30.2
345,29.19,-91.687,611,,24.2
346,28.964,-91.097,520,,15.9
347,28.978,-91.257,165,,23.7
348,29.002,-91.096,522,,13
349,29.029,-91.087,133,,10.3
350,29.069,-91.523,1303,,28.4
351,29.072,-91.232,168,,14
352,29.138,-91.505,578,,21.3
353,29.15,-91.522,577,,21
354,29.151,-91.105,524,,2
355,29.153,-91.532,576,,21.1
356,29.187,-91.105,527,,1.2
357,28.948,-90.52,414,,11.4
358,29,-90.85,130,,4.4
359,29.023,-90.734,105,,2
360,29.025,-90.762,104,,1.3
361,29.025,-90.665,441,,3.8
362,29.032,-90.665,442,,3.1
363,29.035,-90.543,408,,4
364,29.037,-90.543,407,,3.8
365,29.039,-90.694,443,,1.9
366,29.04,-90.874,131,,0.4
367,29.04,-90.702,444,,1.6
368,29.04,-90.548,406,,3.7
369,29.043,-90.753,449,,0.5
370,29.044,-90.704,445,,1.1
371,29.044,-90.5,94,,1.7
372,29.045,-90.656,100,,1.9
373,29.046,-90.673,103,,1.6
374,29.05,-90.709,446,,0.4
375,29.052,-90.71,447,,0.1
376,29.054,-90.552,405,,2.4
377,29.054,-90.55,96,,2.4
378,29.055,-90.668,102,,0.8
379,29.063,-90.618,98,,0.7
380,29.065,-90.562,97,,1.2
381,29.066,-90.531,95,,0.7
382,29.072,-90.639,99,,0.5
383,29.091,-90.668,101,,2.8
384,28.983,-90.331,75,,7.2
385,28.991,-90.021,1025,,17.8
