FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
70,103,6/25/2011,0.351481481,29.04607693000,-90.67258753000,86,-90.49500000000,29.00500000000,8.00000000000,0.18227629
147,446,6/27/2011,0.378020833,29.04964519000,-90.70902528000,86,-90.49500000000,29.00500000000,8.00000000000,0.21863214
148,447,6/27/2011,0.378055556,29.05230457000,-90.70992069000,86,-90.49500000000,29.00500000000,8.00000000000,0.22006505
169,406,6/27/2011,0.342719907,29.03995194000,-90.54828127000,86,-90.49500000000,29.00500000000,8.00000000000,0.06372230
170,407,6/27/2011,0.342777778,29.03653079000,-90.54352065000,86,-90.49500000000,29.00500000000,8.00000000000,0.05786574
171,408,6/27/2011,0.342824074,29.03448079000,-90.54343731000,86,-90.49500000000,29.00500000000,8.00000000000,0.05670353
172,441,6/27/2011,0.377395833,29.02488867000,-90.66502853000,86,-90.49500000000,29.00500000000,8.00000000000,0.17118779
173,442,6/27/2011,0.37755787,29.03235534000,-90.66549520000,86,-90.49500000000,29.00500000000,8.00000000000,0.17267579
174,443,6/27/2011,0.377835648,29.03900220000,-90.69346315000,86,-90.49500000000,29.00500000000,8.00000000000,0.20135484
175,444,6/27/2011,0.377928241,29.03946392000,-90.70234562000,86,-90.49500000000,29.00500000000,8.00000000000,0.21019031
