,a_lat,a_lon,cdom,chloro,oxy,salt,temp
104,28.499,-90.761,0.26,1.18,3.05,32.87,29.82
105,28.503,-92.988,0.25,1.16,3,33.13,29.19
106,28.503,-92.902,0.25,1.16,3.02,33.15,29.2
107,28.504,-91.194,0.23,1.16,3.69,33.75,29.49
108,28.504,-91.164,0.23,1.16,3.69,33.78,29.5
109,28.506,-93.429,0.27,1.16,2.88,32.58,29.08
110,28.508,-93.42,0.27,1.16,2.88,32.58,29.08
111,28.508,-92.871,0.27,1.16,3.1,32.78,29.17
112,28.512,-93.415,0.27,1.16,2.9,32.6,29.09
113,28.512,-90.774,0.31,1.19,2.86,32.17,29.59
114,28.514,-90.673,0.31,1.17,1.89,31.9,29.4
115,28.515,-93.443,0.27,1.16,2.88,32.58,29.08
116,28.516,-91.077,0.34,1.18,2.24,32.03,29.16
117,28.519,-90.715,0.27,1.17,2.43,32.82,29.26
118,28.519,-90.26,0.29,1.18,2.6,32.74,29.15
119,28.521,-91.281,0.36,1.16,3.36,31,29.65
120,28.522,-92.996,0.27,1.16,3.04,32.73,29.15
121,28.525,-91.603,0.25,1.16,3.6,33.23,29.38
122,28.527,-93.3,0.27,1.16,2.93,32.63,29.1
123,28.529,-90.681,0.31,1.17,1.89,31.9,29.4
124,28.532,-92.965,0.27,1.16,3.07,32.75,29.16
125,28.534,-91.33,0.3,1.16,3.49,32,29.56
126,28.536,-92.051,0.26,1.16,3.43,33.08,29.31
127,28.536,-90.776,0.31,1.19,2.86,32.17,29.59
128,28.537,-93.665,0.28,1.16,2.79,32.5,29.04
129,28.537,-93.402,0.27,1.16,2.9,32.6,29.09
130,28.537,-91.237,0.41,1.17,3.24,30.01,29.73
131,28.539,-93.302,0.27,1.16,2.93,32.63,29.1
132,28.54,-92.31,0.26,1.16,3.32,32.98,29.27
133,28.54,-91.267,0.36,1.16,3.36,31,29.65
134,28.542,-93.104,0.27,1.16,3.02,32.7,29.14
135,28.542,-91.162,0.39,1.17,2.78,30.67,29.51
136,28.542,-91.108,NA,NA,NA,NA,NA
137,28.543,-93.367,0.27,1.16,2.9,32.6,29.09
138,28.543,-92.198,0.26,1.16,3.38,33.03,29.29
139,28.544,-92.817,0.27,1.16,3.13,32.8,29.18
140,28.546,-91.15,0.39,1.17,2.78,30.67,29.51
141,28.548,-93.183,0.27,1.16,2.99,32.68,29.12
142,28.548,-93.133,0.27,1.16,3.02,32.7,29.14
143,28.549,-92.246,0.26,1.16,3.35,33,29.28
144,28.55,-92.781,NA,NA,NA,NA,NA
145,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
146,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
147,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
148,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
149,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
150,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
151,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
152,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
153,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
154,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
155,28.552,-91.199,0.41,1.17,3.24,30.01,29.73
156,28.552,-91.12,NA,NA,NA,NA,NA
157,28.553,-91.278,0.36,1.16,3.36,31,29.65
158,28.553,-91.278,0.36,1.16,3.36,31,29.65
159,28.556,-93.299,0.27,1.16,2.93,32.63,29.1
160,28.559,-93.299,0.27,1.16,2.93,32.63,29.1
161,28.56,-91.133,0.39,1.17,2.78,30.67,29.51
162,28.561,-93.299,0.27,1.16,2.93,32.63,29.1
163,28.563,-91.483,0.25,1.16,3.65,33.28,29.41
164,28.564,-92.004,0.26,1.16,3.46,33.1,29.32
165,28.564,-90.805,0.31,1.19,2.86,32.17,29.59
166,28.565,-91.259,0.36,1.16,3.36,31,29.65
167,28.566,-91.216,0.41,1.17,3.24,30.01,29.73
168,28.569,-92.812,0.27,1.16,3.13,32.8,29.18
169,28.57,-93.413,0.27,1.16,2.9,32.6,29.09
170,28.572,-91.161,0.39,1.17,2.78,30.67,29.51
171,28.574,-90.806,0.31,1.19,2.86,32.17,29.59
172,28.576,-92.709,0.28,1.16,3.26,32.48,29.17
173,28.58,-93.207,0.29,1.16,3.03,32.28,29.08
174,28.581,-92.866,0.29,1.16,3.17,32.4,29.14
175,28.582,-93.297,0.29,1.16,3.01,32.25,29.07
176,28.586,-92.704,0.28,1.16,3.26,32.48,29.17
177,28.587,-92.991,0.29,1.16,3.14,32.38,29.13
178,28.593,-92.797,0.29,1.16,3.2,32.43,29.15
179,28.598,-93.328,0.29,1.16,3.01,32.25,29.07
