Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
623,7995464,-90.54343731,29.03448079,0,44169,44332,45296,45700,0,0,47827
624,7995464,-92.51371648,29.03440233,0,43757,41726,43204,43668,45168,46081,46864
625,7995464,-90.18279337,29.03413051,0,44033,45103,44884,45590,44082,48601,46807
626,7995464,-90.3364,29.03401667,0,0,44174,44657,45337,0,48676,46905
627,7995464,-90.6654952,29.03235534,0,44213,44032,45270,45077,0,0,48565
628,7995464,-92.50999232,29.03210455,0,43757,41726,43204,43668,45168,46081,46864
629,7995464,-92.94458333,29.03201667,42337,43640,0,43765,43481,44591,45578,46319
630,7995464,-92.96631285,29.03178846,42393,43809,0,43826,43314,45039,45541,46126
631,7995464,-90.85876667,29.03175,0,44418,44333,45283,44737,39815,50175,47534
632,7995464,-92.64644813,29.03162392,0,43762,0,43751,43473,45336,45942,47491
633,7995464,-89.98663333,29.03093333,0,44306,46214,45682,46616,47552,49089,48758
634,7995464,-91.08704141,29.02951571,0,43618,43715,45820,45008,46432,0,46344
635,7995464,-93.02286758,29.02926477,42158,43991,0,43596,43123,45133,45549,46280
636,7995464,-89.02567408,29.02923606,0,0,46538,46780,0,45326,0,0
637,7995464,-90.32014405,29.02888068,0,0,44818,45342,45195,0,48098,46610
638,7995464,-92.00444002,29.0288767,0,43796,0,44003,44047,45170,46649,47597
639,7995464,-90.37224339,29.02873341,0,0,44174,44657,45337,0,48676,46905
640,7995464,-90.31413344,29.02802086,0,0,44818,45342,45195,0,48098,46610
641,7995464,-93.65221289,29.02786775,40398,42831,41778,42742,42389,44536,44996,44026
642,7995464,-91.99927568,29.02775519,0,43832,0,43479,43996,45143,46630,47287
643,7995464,-90.43473211,29.02701691,0,0,44261,45415,45407,45941,0,46900
