Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
868,7995464,-93.8539,28.92058333,40766,42781,41893,42545,42627,44196,44770,44095
869,7995464,-89.50331667,28.92045,0,44603,46048,44067,45706,43406,0,48674
870,7995464,-92.7462347,28.92026284,0,43636,0,43423,43162,43789,45033,46030
871,7995464,-90.47248852,28.91951345,0,44134,43887,44583,45298,45878,0,46723
872,7995464,-89.77823333,28.91753333,0,0,45828,45169,44467,45619,48335,48194
873,7995464,-94.10487487,28.91742481,40466,42636,41587,42634,41920,44053,44359,43118
874,7995464,-91.44725504,28.9173636,0,42930,43423,43735,43941,0,47502,47885
875,7995464,-89.70693582,28.9161632,0,0,45778,45087,44749,0,0,48703
876,7995464,-92.33674452,28.91603452,0,43935,0,43814,43297,44641,45951,47011
877,7995464,-90.57774638,28.91434611,0,43890,43731,44811,45182,44312,48902,47290
878,7995464,-92.17547816,28.91369425,0,43722,41680,43497,43162,44977,45734,47144
879,7995464,-92.75900894,28.91342378,0,43474,0,43452,43072,44483,45291,46312
880,7995464,-89.86274441,28.91339754,0,43913,46012,46131,45109,46927,0,48130
881,7995464,-90.87236667,28.91196667,0,44140,43786,44379,44147,0,48063,47392
882,7995464,-89.85515971,28.91146116,0,43913,46012,46131,45109,46927,0,48130
883,7995464,-93.85564987,28.91073202,40511,43045,41835,42602,42167,43933,44580,43257
884,7995464,-90.48441126,28.91033415,0,43608,44148,44245,45245,45768,48857,46975
885,7995464,-92.56093023,28.90998483,0,43687,0,43266,43427,45122,45680,45970
886,7995464,-89.28976667,28.90945,0,42798,46922,46569,46367,0,0,48927
887,7995464,-90.57004695,28.90912277,0,43890,43731,44811,45182,44312,48902,47290
888,7995464,-89.62275,28.90795,0,43890,45852,45545,45459,44065,47453,49773
889,7995464,-90.56336667,28.90781667,0,43890,43731,44811,45182,44312,48902,47290
890,7995464,-92.75968333,28.90746667,0,43474,0,43452,43072,44483,45291,46312
891,7995464,-92.95945673,28.90715645,0,43558,0,43798,43094,44710,45483,45455
892,7995464,-92.04553799,28.90699485,0,43510,0,43752,43538,44037,45631,46799
893,7995464,-91.44879389,28.90512132,0,43322,43580,43707,43443,0,47102,47116
894,7995464,-90.70511667,28.90421667,0,44027,44067,44789,44716,44411,0,48435
895,7995464,-90.49826692,28.90401838,0,43608,44148,44245,45245,45768,48857,46975
896,7995464,-89.47112635,28.90327411,0,44682,45719,44501,44163,43933,0,49192
897,7995464,-92.34881667,28.9027,0,43935,0,43814,43297,44641,45951,47011
898,7995464,-90.87983333,28.90178333,0,44140,43786,44379,44147,0,48063,47392
899,7995464,-93.1909724,28.90003333,0,43622,41760,43898,43336,44261,45671,45174
900,7995464,-91.64034329,28.89938089,0,43574,42948,43708,43915,44894,0,47356
901,7995464,-89.77725,28.8992,0,43001,45938,45090,44965,45967,0,48405
902,7995464,-92.76517962,28.89915592,0,43474,0,43452,43072,44483,45291,46312
903,7995464,-94.10368957,28.89905981,40464,42501,41562,42408,42340,43867,44276,42325
904,7995464,-90.16932531,28.89862844,0,43853,44657,44846,44802,44807,48838,46420
905,7995464,-90.15104275,28.89862035,0,44013,44891,45026,45058,44157,48830,47161
906,7995464,-89.41986011,28.89858277,0,43234,44753,44786,44564,43664,0,48237
907,7995464,-93.85582105,28.89785915,40511,43045,41835,42602,42167,43933,44580,43257
908,7995464,-91.4063,28.89748333,0,42834,43702,43660,43535,0,47347,47530
909,7995464,-90.53423247,28.89512902,0,43890,43731,44811,45182,44312,48902,47290
910,7995464,-91.26323333,28.89505,0,43657,43470,43470,43779,43535,48191,48272
911,7995464,-90.50608594,28.89477369,0,43890,43731,44811,45182,44312,48902,47290
912,7995464,-92.34312845,28.89446314,0,43935,0,43814,43297,44641,45951,47011
913,7995464,-90.17003282,28.89357531,0,43853,44657,44846,44802,44807,48838,46420
914,7995464,-90.51324814,28.89351677,0,43890,43731,44811,45182,44312,48902,47290
915,7995464,-92.96190662,28.89329775,0,43558,0,43798,43094,44710,45483,45455
916,7995464,-92.96133571,28.8932496,0,43558,0,43798,43094,44710,45483,45455
917,7995464,-90.14391018,28.89308561,0,44013,44891,45026,45058,44157,48830,47161
918,7995464,-91.87088878,28.89284995,0,43581,42628,43736,44087,45500,46269,46773
919,7995464,-89.76706667,28.89041667,0,43001,45938,45090,44965,45967,0,48405
920,7995464,-89.773,28.89035,0,43001,45938,45090,44965,45967,0,48405
921,7995464,-92.56910521,28.8896197,0,43687,0,43266,43427,45122,45680,45970
922,7995464,-91.3914199,28.88940061,0,42834,43702,43660,43535,0,47347,47530
923,7995464,-92.2041933,28.88929828,0,43722,41680,43497,43162,44977,45734,47144
924,7995464,-92.57000335,28.88853313,0,43687,0,43266,43427,45122,45680,45970
925,7995464,-90.70305,28.88728333,0,44027,44067,44789,44716,44411,0,48435
926,7995464,-90.49409622,28.88599494,0,43608,44148,44245,45245,45768,48857,46975
927,7995464,-89.59850055,28.88565915,0,43890,45852,45545,45459,44065,47453,49773
928,7995464,-92.05663158,28.8852049,0,43510,0,43752,43538,44037,45631,46799
929,7995464,-93.85568411,28.88279023,40511,43045,41835,42602,42167,43933,44580,43257
930,7995464,-93.65294903,28.88253257,40363,43105,41674,42699,42372,43244,44799,0
931,7995464,-90.04045908,28.88247673,0,43685,45860,45362,45799,46398,49130,48100
932,7995464,-92.33663502,28.8809918,0,43935,0,43814,43297,44641,45951,47011
933,7995464,-91.65350317,28.88088707,0,43574,42948,43708,43915,44894,0,47356
934,7995464,-94.10386055,28.87973046,40464,42501,41562,42408,42340,43867,44276,42325
935,7995464,-89.51508381,28.87963144,0,44711,46211,45117,45306,45815,46751,49039
936,7995464,-91.85228333,28.87861667,0,43581,42628,43736,44087,45500,46269,46773
937,7995464,-91.69037677,28.87695004,0,43522,43183,43921,43702,45054,46318,47414
938,7995464,-91.65421339,28.87685574,0,43574,42948,43708,43915,44894,0,47356
939,7995464,-92.25303081,28.87667631,0,43751,42043,43402,43506,45096,45462,47384
940,7995464,-92.22711412,28.87660383,0,43722,41680,43497,43162,44977,45734,47144
941,7995464,-91.86781782,28.87568135,0,43581,42628,43736,44087,45500,46269,46773
942,7995464,-91.38324306,28.87556235,0,42834,43702,43660,43535,0,47347,47530
943,7995464,-91.44052251,28.87553648,0,43322,43580,43707,43443,0,47102,47116
944,7995464,-91.27068611,28.87551586,0,43657,43470,43470,43779,43535,48191,48272
945,7995464,-90.71154,28.87472193,0,44132,43974,44424,44726,44427,0,48194
946,7995464,-90.49254128,28.87393333,0,43996,44357,44507,44158,45295,48377,46227
947,7995464,-92.23724983,28.87282435,0,43765,42288,43459,43294,44594,45834,47274
948,7995464,-91.46510377,28.87223225,0,43570,43423,43760,43551,0,46694,47645
949,7995464,-92.23678126,28.87183875,0,43765,42288,43459,43294,44594,45834,47274
950,7995464,-93.65175,28.8716,40581,43152,41677,42257,42339,44350,44776,43176
951,7995464,-91.87057397,28.871522,0,43446,42893,43854,43354,45425,46503,46878
952,7995464,-91.09586466,28.87151949,0,42912,43520,44504,44072,44867,47789,48154
953,7995464,-90.3286342,28.86989763,0,43998,44940,44977,44710,0,48686,46014
954,7995464,-91.45007233,28.86923305,0,43570,43423,43760,43551,0,46694,47645
955,7995464,-92.5800486,28.8690971,0,43593,0,43444,43198,44963,45544,45177
956,7995464,-91.668009,28.86727657,0,43505,43392,43683,43775,44953,46104,47032
957,7995464,-93.1825,28.8663,0,43738,0,43855,42795,44507,45664,45644
958,7995464,-90.16768136,28.86608685,0,44008,45105,45200,45392,44758,48837,0
959,7995464,-92.95558818,28.86548058,0,43594,0,43521,42796,44393,45175,45909
960,7995464,-92.33934133,28.86502528,0,43772,41802,43560,43248,44789,45493,47202
961,7995464,-90.16340647,28.86368139,0,44102,45164,45090,45281,45588,0,47997
962,7995464,-89.9498,28.86306667,0,0,46299,45805,45053,46386,48277,48004
963,7995464,-91.09477758,28.86296927,0,42912,43520,44504,44072,44867,47789,48154
964,7995464,-91.46851667,28.86033333,0,43570,43423,43760,43551,0,46694,47645
965,7995464,-91.27793333,28.86021667,0,43451,43314,43406,43068,43373,47804,48253
966,7995464,-92.07331703,28.85981361,0,43561,0,43702,43463,44560,45833,46469
967,7995464,-91.38145793,28.85973792,0,43025,43313,43771,43388,40059,46641,47846
968,7995464,-90.13385,28.85935,0,44102,45164,45090,45281,45588,0,47997
969,7995464,-92.96575828,28.85889393,0,43517,0,43355,43286,43630,45215,45581
970,7995464,-91.8680834,28.85856835,0,43446,42893,43854,43354,45425,46503,46878
971,7995464,-92.25300961,28.85743841,0,43674,42300,43670,43459,44793,45667,47005
972,7995464,-89.85676586,28.85696488,0,0,46420,45037,44655,45924,48558,47577
973,7995464,-91.66291779,28.85685879,0,43439,43241,43444,43743,44761,45992,47251
974,7995464,-92.25244596,28.85682232,0,43674,42300,43670,43459,44793,45667,47005
975,7995464,-90.1644267,28.85625655,0,44102,45164,45090,45281,45588,0,47997
976,7995464,-90.87113333,28.85558333,0,43961,43974,44436,44441,44414,47847,47649
977,7995464,-91.10080697,28.8540011,0,42912,43520,44504,44072,44867,47789,48154
978,7995464,-90.16295116,28.85318711,0,44102,45164,45090,45281,45588,0,47997
979,7995464,-92.77570642,28.85153229,0,43405,0,43571,43429,44598,45298,46078
980,7995464,-91.86038569,28.85094108,0,43446,42893,43854,43354,45425,46503,46878
981,7995464,-90.87299085,28.84957819,0,43961,43974,44436,44441,44414,47847,47649
982,7995464,-91.66161575,28.84745952,0,43439,43241,43444,43743,44761,45992,47251
983,7995464,-92.2702636,28.84715189,0,43674,42300,43670,43459,44793,45667,47005
984,7995464,-90.1635564,28.84695326,0,44102,45164,45090,45281,45588,0,47997
985,7995464,-90.16621239,28.8468929,0,44102,45164,45090,45281,45588,0,47997
986,7995464,-91.37734604,28.84627698,0,43025,43313,43771,43388,40059,46641,47846
987,7995464,-91.10181516,28.84442624,0,42912,43520,44504,44072,44867,47789,48154
988,7995464,-91.85896667,28.84358333,0,43446,42893,43854,43354,45425,46503,46878
989,7995464,-93.85501667,28.83923333,40467,43072,42423,42994,42611,43686,44498,43067
990,7995464,-92.59471263,28.83775409,0,43687,0,43588,43184,43936,45153,46072
991,7995464,-90.49359524,28.83588497,0,43996,44357,44507,44158,45295,48377,46227
992,7995464,-91.37371319,28.83552958,0,0,42986,43709,43328,0,47329,48133
993,7995464,-92.77444403,28.83540759,0,43405,0,43571,43429,44598,45298,46078
994,7995464,-92.28091127,28.83501657,0,43674,42300,43670,43459,44793,45667,47005
995,7995464,-90.69703423,28.83331422,0,43823,43772,44351,44610,43296,0,47457
996,7995464,-92.08843333,28.832,0,43480,0,43637,43226,44524,45746,46445
997,7995464,-92.59899805,28.83068172,0,43428,41691,0,43268,44654,45430,46493
998,7995464,-91.50229547,28.83049407,0,43270,43054,43783,43784,0,46476,47482
999,7995464,-92.32979918,28.82868054,0,43561,41884,43597,43166,44512,45206,46920
1000,7995464,-92.78598554,28.82818651,0,43274,0,43493,43345,44661,45279,45942
1001,7995464,-92.59499868,28.82791047,0,43428,41691,0,43268,44654,45430,46493
1002,7995464,-90.29536667,28.82563333,0,43875,44814,44939,44835,44854,48619,46150
1003,7995464,-91.85388581,28.82543754,0,43331,42747,43521,43342,45151,46343,46670
1004,7995464,-91.88858262,28.82479802,0,43341,0,43905,43593,45063,46414,46588
1005,7995464,-90.16481667,28.82428333,0,44053,44991,45258,45201,45765,0,0
1006,7995464,-89.74508333,28.82386667,0,43754,46123,45096,44644,0,48502,48767
1007,7995464,-91.09873534,28.82274718,0,43468,42840,44263,43814,44867,48062,48115
1008,7995464,-92.32814593,28.8226824,0,43561,41884,43597,43166,44512,45206,46920
1009,7995464,-91.68009466,28.8225375,0,43450,42867,43450,43599,45023,45937,47263
1010,7995464,-91.85045873,28.82222874,0,43331,42747,43521,43342,45151,46343,46670
1011,7995464,-92.78157061,28.82214633,0,43274,0,43493,43345,44661,45279,45942
1012,7995464,-92.32785352,28.82122067,0,43561,41884,43597,43166,44512,45206,46920
1013,7995464,-92.59862655,28.82103814,0,43428,41691,0,43268,44654,45430,46493
1014,7995464,-92.29061026,28.82087708,0,43585,41974,43444,43009,44724,45244,47195
1015,7995464,-92.32648333,28.81945,0,43561,41884,43597,43166,44512,45206,46920
1016,7995464,-91.09928534,28.81666384,0,43468,42840,44263,43814,44867,48062,48115
1017,7995464,-91.47565345,28.81626009,0,43426,43199,43641,43614,0,46648,47596
1018,7995464,-91.66731696,28.81525371,0,43450,42867,43450,43599,45023,45937,47263
1019,7995464,-91.09966339,28.81348579,0,43468,42840,44263,43814,44867,48062,48115
1020,7995464,-91.5278999,28.81330223,0,43270,43054,43783,43784,0,46476,47482
1021,7995464,-90.8716819,28.81321189,0,43232,43297,43720,43911,0,48474,47692
1022,7995464,-89.95019775,28.81252977,0,0,45738,45622,44816,45856,0,47881
1023,7995464,-90.87424189,28.81192441,0,43232,43297,43720,43911,0,48474,47692
1024,7995464,-91.64146056,28.8107793,0,43454,43427,43716,43750,45023,46153,46781
1025,7995464,-91.8466002,28.8104239,0,43331,42747,43521,43342,45151,46343,46670
1026,7995464,-91.89503333,28.81008333,0,43341,0,43905,43593,45063,46414,46588
1027,7995464,-90.1254,28.80921667,0,44053,44991,45258,45201,45765,0,0
1028,7995464,-91.28996736,28.80748302,0,42937,42866,43570,43245,42269,47132,48432
1029,7995464,-90.87081765,28.80738744,0,43232,43297,43720,43911,0,48474,47692
1030,7995464,-91.36709605,28.80738055,0,43483,42964,43610,43238,40185,46715,47723
1031,7995464,-91.53135911,28.80732384,0,43270,43054,43783,43784,0,46476,47482
1032,7995464,-91.10141667,28.80558333,0,43468,42840,44263,43814,44867,48062,48115
1033,7995464,-91.33586408,28.80530486,0,43483,42964,43610,43238,40185,46715,47723
1034,7995464,-90.33496849,28.80467249,0,43829,44652,44755,44814,42527,48655,46099
1035,7995464,-91.5405005,28.80421032,0,43270,43054,43783,43784,0,46476,47482
1036,7995464,-92.60802637,28.80357678,0,43428,41691,0,43268,44654,45430,46493
1037,7995464,-91.90313333,28.80175,0,43341,0,43905,43593,45063,46414,46588
1038,7995464,-91.28638333,28.79675,0,42937,42866,43570,43245,42269,47132,48432
1039,7995464,-92.36929413,28.79668871,0,43688,41812,43502,43004,44462,45191,46432
1040,7995464,-91.48118333,28.7962,0,43426,43199,43641,43614,0,46648,47596
1041,7995464,-89.92628333,28.7951,0,0,45738,45622,44816,45856,0,47881
1042,7995464,-91.29168333,28.79476667,0,43608,43038,43706,43417,42269,47023,47804
1043,7995464,-90.16626653,28.79443202,0,44053,44991,45258,45201,45765,0,0
1044,7995464,-92.95776056,28.7941547,0,43554,0,43712,42663,43571,45266,44417
1045,7995464,-92.78830243,28.79365874,0,43274,0,43493,43345,44661,45279,45942
1046,7995464,-92.97054324,28.79340328,0,43341,41398,43849,42905,44411,45056,44205
1047,7995464,-91.55463308,28.79194828,0,43628,42799,43768,43410,43385,45839,47096
1048,7995464,-92.61010774,28.79124221,0,43373,41577,43094,42731,44334,45482,46735
1049,7995464,-90.24414455,28.79053802,0,43770,45009,45164,44756,45002,48609,45623
1050,7995464,-93.85842976,28.79038038,0,43197,41933,43001,0,43934,0,43790
1051,7995464,-90.46151667,28.7898,0,43877,44290,44500,44228,44138,48424,46268
1052,7995464,-90.1622459,28.78830164,0,43786,44903,45293,44792,45541,0,47014
1053,7995464,-89.92306776,28.78818197,0,43291,45474,45643,44098,45618,0,47912
1054,7995464,-91.35714689,28.78529374,0,43441,42904,43367,43213,41858,46139,47535
1055,7995464,-90.53061463,28.78400348,0,43714,44038,44149,44125,44270,47735,46370
1056,7995464,-90.53061463,28.78400348,0,43714,44038,44149,44125,44270,47735,46370
1057,7995464,-90.16754251,28.7836428,0,43663,45094,45248,44723,45371,47659,46421
1058,7995464,-92.61366053,28.78311491,0,43373,41577,43094,42731,44334,45482,46735
1059,7995464,-93.06401569,28.78296667,0,43267,0,43607,42541,43959,44909,43815
1060,7995464,-89.91731667,28.78258333,0,43291,45474,45643,44098,45618,0,47912
1061,7995464,-90.54244521,28.78199125,0,43378,43676,44298,44448,42458,47784,46744
1062,7995464,-91.10472242,28.78103073,0,43494,42979,43889,43768,44666,47612,47775
1063,7995464,-92.79318266,28.78082682,0,43196,0,43312,42847,44420,45290,43506
1064,7995464,-90.8717895,28.78035746,0,43355,43278,43891,44213,43732,0,47531
1065,7995464,-91.8363923,28.78032013,0,43492,42791,43432,43353,45036,46598,47395
1066,7995464,-92.96846667,28.77946667,0,43228,41638,43603,42407,44193,44992,43774
1067,7995464,-91.49032075,28.77839191,0,43323,42900,43460,43414,0,46398,47310
1068,7995464,-90.11391667,28.7782,0,44006,45049,45392,44831,45481,0,0
1069,7995464,-92.37459552,28.77818821,0,43798,42038,43556,43125,44221,45198,46520
1070,7995464,-90.53894778,28.77683868,0,43714,44038,44149,44125,44270,47735,46370
1071,7995464,-90.53761445,28.77625535,0,43714,44038,44149,44125,44270,47735,46370
1072,7995464,-90.53247908,28.77611779,0,43714,44038,44149,44125,44270,47735,46370
1073,7995464,-92.96940048,28.7759508,0,43228,41638,43603,42407,44193,44992,43774
1074,7995464,-92.37305931,28.77522803,0,43798,42038,43556,43125,44221,45198,46520
1075,7995464,-90.53052261,28.77496947,0,43714,44038,44149,44125,44270,47735,46370
1076,7995464,-90.55128579,28.77352538,0,43378,43676,44298,44448,42458,47784,46744
1077,7995464,-89.93430296,28.77318245,0,43291,45474,45643,44098,45618,0,47912
1078,7995464,-92.80329604,28.77260635,0,43196,0,43312,42847,44420,45290,43506
1079,7995464,-92.62799379,28.7724024,0,43339,41482,43232,42709,43580,45530,46550
1080,7995464,-91.58495921,28.77198882,0,43521,43296,43701,43426,44768,46055,46886
1081,7995464,-90.52413927,28.77175281,0,43714,44038,44149,44125,44270,47735,46370
1082,7995464,-90.52899406,28.77138053,0,43714,44038,44149,44125,44270,47735,46370
1083,7995464,-90.55407598,28.77087803,0,43378,43676,44298,44448,42458,47784,46744
1084,7995464,-92.37439282,28.77005986,0,43798,42038,43556,43125,44221,45198,46520
1085,7995464,-91.69878333,28.76966667,0,43485,43089,43658,43374,44561,46013,47296
1086,7995464,-90.55456892,28.76852677,0,43378,43676,44298,44448,42458,47784,46744
1087,7995464,-90.55442927,28.76848427,0,43378,43676,44298,44448,42458,47784,46744
1088,7995464,-90.55426423,28.76843404,0,43378,43676,44298,44448,42458,47784,46744
1089,7995464,-90.51882948,28.76688121,0,43714,44038,44149,44125,44270,47735,46370
1090,7995464,-92.80629536,28.76627377,0,43196,0,43312,42847,44420,45290,43506
1091,7995464,-91.34382736,28.76407187,0,43441,42904,43367,43213,41858,46139,47535
1092,7995464,-91.35867758,28.76375867,0,43441,42904,43367,43213,41858,46139,47535
1093,7995464,-90.49969344,28.76171257,0,43877,44290,44500,44228,44138,48424,46268
1094,7995464,-90.00306244,28.76161991,0,43410,45582,45274,44120,44719,0,47917
1095,7995464,-92.37951667,28.76136667,0,43687,41767,43429,43014,44323,45114,45248
1096,7995464,-93.85729903,28.76101743,0,43197,41933,43001,0,43934,0,43790
1097,7995464,-92.1389072,28.76080917,0,43260,42038,43752,43283,44514,45908,46420
1098,7995464,-90.55491747,28.75941899,0,43378,43676,44298,44448,42458,47784,46744
1099,7995464,-90.11596277,28.75867291,0,44006,45049,45392,44831,45481,0,0
1100,7995464,-89.96006812,28.75742535,0,43291,45474,45643,44098,45618,0,47912
1101,7995464,-92.1408,28.7572,0,43260,42038,43752,43283,44514,45908,46420
1102,7995464,-91.82952885,28.75718423,0,43424,43144,43357,43659,45052,46500,47429
1103,7995464,-92.80701667,28.75673333,0,43196,0,43312,42847,44420,45290,43506
1104,7995464,-90.86906667,28.7566,0,43355,43278,43891,44213,43732,0,47531
1105,7995464,-92.14849298,28.75630252,0,43260,42038,43752,43283,44514,45908,46420
1106,7995464,-90.1150461,28.75583958,0,44006,45049,45392,44831,45481,0,0
1107,7995464,-89.56065,28.7556,0,43655,45229,45263,43749,43177,47043,48683
1108,7995464,-91.49795,28.75498333,0,43323,42900,43460,43414,0,46398,47310
1109,7995464,-90.49391144,28.7545308,0,43877,44290,44500,44228,44138,48424,46268
1110,7995464,-90.11446277,28.75402291,0,44006,45049,45392,44831,45481,0,0
1111,7995464,-90.48390048,28.75243254,0,43877,44290,44500,44228,44138,48424,46268
1112,7995464,-91.82644564,28.75116493,0,43424,43144,43357,43659,45052,46500,47429
1113,7995464,-92.13201667,28.75111667,0,43260,42038,43752,43283,44514,45908,46420
1114,7995464,-90.56007413,28.75086819,0,43378,43676,44298,44448,42458,47784,46744
1115,7995464,-89.64705,28.75045,0,44176,45688,45243,44361,0,47878,0
1116,7995464,-89.99295341,28.74983393,0,43627,44750,45434,43747,44998,47833,0
1117,7995464,-91.70761667,28.74938333,0,43359,42991,43246,43128,44298,46188,47143
1118,7995464,-90.15414946,28.74859401,0,43355,44920,45046,44309,45121,0,45856
1119,7995464,-90.47092959,28.74712831,0,43362,44134,44487,43941,44640,48136,46144
1120,7995464,-91.33659404,28.74705487,0,43290,43161,43383,43487,0,46183,47567
1121,7995464,-90.56231873,28.74626487,0,43201,43830,44226,43826,42465,0,45791
1122,7995464,-91.93525175,28.74613965,0,43402,0,43566,43028,45038,46037,47187
1123,7995464,-92.38383333,28.74603333,0,43522,41489,43134,42968,44286,45133,45086
1124,7995464,-92.8004008,28.74581807,0,43214,41726,43317,42527,44180,44897,43861
1125,7995464,-92.97193333,28.74571667,0,43347,41657,43327,42063,44167,44930,44105
1126,7995464,-92.6306,28.74561667,0,43284,41512,43141,42251,43764,45376,44131
1127,7995464,-91.62896667,28.7456,0,43531,42634,43484,43262,44633,46163,47403
1128,7995464,-90.11197032,28.7449138,0,43784,45244,45097,44849,45167,0,46356
1129,7995464,-92.79653926,28.74394194,0,43214,41726,43317,42527,44180,44897,43861
1130,7995464,-92.43266629,28.74388719,0,43526,0,43325,42688,43992,45123,46533
1131,7995464,-91.33307588,28.74374137,0,42381,43287,43582,43479,43552,46263,47418
1132,7995464,-90.4628349,28.74337224,0,43362,44134,44487,43941,44640,48136,46144
1133,7995464,-92.43604429,28.74118843,0,43526,0,43325,42688,43992,45123,46533
1134,7995464,-90.4441761,28.74009215,0,43454,44197,44658,44180,43681,48715,45177
1135,7995464,-91.33132702,28.74004099,0,42381,43287,43582,43479,43552,46263,47418
1136,7995464,-91.50955321,28.73927344,0,43458,42826,43790,43824,0,45754,46143
1137,7995464,-90.11033699,28.73873047,0,43784,45244,45097,44849,45167,0,46356
1138,7995464,-89.91681672,28.73816974,0,42882,44861,45572,43764,45428,47840,0
1139,7995464,-89.91793333,28.7365,0,42882,44861,45572,43764,45428,47840,0
1140,7995464,-90.10878333,28.73578333,0,43784,45244,45097,44849,45167,0,46356
1141,7995464,-91.6485673,28.73534261,0,43531,42634,43484,43262,44633,46163,47403
1142,7995464,-92.14531337,28.73487397,0,43271,41745,43454,43205,44540,45894,46557
1143,7995464,-92.97408756,28.73361182,0,43347,41657,43327,42063,44167,44930,44105
1144,7995464,-90.56598333,28.733,0,43201,43830,44226,43826,42465,0,45791
1145,7995464,-92.63881667,28.73288333,0,43284,41512,43141,42251,43764,45376,44131
1146,7995464,-90.23046321,28.73225668,0,43339,45153,45039,44384,43852,0,45518
1147,7995464,-90.16843236,28.73221591,0,43339,45153,45039,44384,43852,0,45518
1148,7995464,-90.41973005,28.73166559,0,43454,44197,44658,44180,43681,48715,45177
1149,7995464,-91.33294584,28.73058078,0,42381,43287,43582,43479,43552,46263,47418
1150,7995464,-90.19573333,28.72933333,0,43339,45153,45039,44384,43852,0,45518
1151,7995464,-92.44026944,28.72918253,0,43526,0,43325,42688,43992,45123,46533
1152,7995464,-91.04664342,28.72856798,0,43596,43055,43877,43369,44326,46843,47749
1153,7995464,-91.65616812,28.72834936,0,43531,42634,43484,43262,44633,46163,47403
1154,7995464,-92.97714802,28.72751315,0,43347,41657,43327,42063,44167,44930,44105
1155,7995464,-90.16605326,28.72739359,0,43355,44920,45046,44309,45121,0,45856
1156,7995464,-92.9749921,28.72698723,0,43347,41657,43327,42063,44167,44930,44105
1157,7995464,-91.3285684,28.72565091,0,42381,43287,43582,43479,43552,46263,47418
1158,7995464,-90.41189876,28.72341704,0,43268,44252,44811,44739,44519,48638,45832
1159,7995464,-91.10908333,28.7223,0,43402,42927,43538,43310,44498,46717,48053
1160,7995464,-90.25931096,28.7222403,0,43244,45152,45132,44324,44347,48781,45871
1161,7995464,-90.85462253,28.72175727,0,43271,43258,44054,44017,0,46681,46904
1162,7995464,-90.56930601,28.72080984,0,43201,43830,44226,43826,42465,0,45791
1163,7995464,-91.32250873,28.71963937,0,42381,43287,43582,43479,43552,46263,47418
1164,7995464,-93.85600701,28.71887681,0,43325,41562,42980,0,43816,0,43814
1165,7995464,-90.04492846,28.71736364,0,43772,44947,45141,44626,45113,0,46147
1166,7995464,-90.86719034,28.71595385,0,43271,43258,44054,44017,0,46681,46904
1167,7995464,-90.25903393,28.71420201,0,43244,45152,45132,44324,44347,48781,45871
1168,7995464,-92.97740212,28.71408148,0,43347,41657,43327,42063,44167,44930,44105
1169,7995464,-91.51807745,28.71247452,0,43458,42826,43790,43824,0,45754,46143
1170,7995464,-91.94783785,28.71208079,0,43402,0,43566,43028,45038,46037,47187
1171,7995464,-90.38317973,28.71193949,0,43268,44252,44811,44739,44519,48638,45832
1172,7995464,-90.36755773,28.71174542,0,43384,44778,44935,44614,44129,48676,46299
1173,7995464,-89.57974797,28.70955915,0,43815,45053,45401,43696,45288,46746,47833
1174,7995464,-92.44908889,28.70943111,0,43526,0,43325,42688,43992,45123,46533
1175,7995464,-92.3956179,28.70941495,0,43522,41489,43134,42968,44286,45133,45086
1176,7995464,-91.32436896,28.7090609,0,42381,43287,43582,43479,43552,46263,47418
1177,7995464,-91.08521667,28.70866667,0,43402,42927,43538,43310,44498,46717,48053
1178,7995464,-90.57312349,28.70841385,0,43201,43830,44226,43826,42465,0,45791
1179,7995464,-90.37281433,28.70790485,0,43271,44638,45007,44515,45142,48556,46387
1180,7995464,-93.85632346,28.70697105,0,43286,41866,42886,0,43601,44252,43498
1181,7995464,-90.95157531,28.70688614,0,43223,42999,44042,43688,0,0,46853
1182,7995464,-90.98709167,28.706425,0,43411,42806,43991,43472,0,0,46943
1183,7995464,-90.06329199,28.70624053,0,0,45129,45383,42541,45427,48028,0
1184,7995464,-91.32027927,28.70541573,0,42929,42965,42916,43247,42831,46351,47878
1185,7995464,-91.01156667,28.7050198,0,43413,43198,43834,43459,42088,0,47233
1186,7995464,-91.51460091,28.70463623,0,43329,42907,43422,43417,0,44804,46655
1187,7995464,-91.00165514,28.70452581,0,43413,43198,43834,43459,42088,0,47233
1188,7995464,-91.00165514,28.70452581,0,43413,43198,43834,43459,42088,0,47233
1189,7995464,-91.01156667,28.7044812,0,43413,43198,43834,43459,42088,0,47233
1190,7995464,-89.90496749,28.70438729,0,43197,45663,45319,43437,45212,48177,0
1191,7995464,-89.68338723,28.70422709,0,43892,46496,45129,44529,43412,48619,46414
1192,7995464,-89.90593197,28.70414617,0,43197,45663,45319,43437,45212,48177,0
1193,7995464,-90.97599095,28.70407215,0,43411,42806,43991,43472,0,0,46943
1194,7995464,-90.9787938,28.70383555,0,43411,42806,43991,43472,0,0,46943
1195,7995464,-90.96685227,28.70378363,0,43411,42806,43991,43472,0,0,46943
1196,7995464,-92.80896584,28.70372648,0,43132,41567,43197,42904,44181,44906,41649
1197,7995464,-90.93677742,28.7028107,0,43223,42999,44042,43688,0,0,46853
1198,7995464,-90.93152887,28.70261226,0,43223,42999,44042,43688,0,0,46853
