FID_1,Field1,a_lat,a_lon,Identifyin,Date,Time,Waypoint,Inclinomet,Sighting_S,Observer,Vessel_Sig,Number_Ves,Vessel_Act,Direction_,Associated,Animal_Sig,Number_in_,Species,School_Siz,Behavior,Notes,Line,Notes_1,Notes_Off_,Inbound_Ou,GlareL_Cat,GlareR_Cat,Sun_penetr,Air_Temp_C,Wind_direc,Wind_Speed,Cloud_Cove,location_x,location_y,Id,date_1,time_1,cdom,dist2cdom,chloro,dist2chlor,oxy,dist2oxy,salt,dist2salt,temp,dist2temp,A2011175_c,A2011176_c,A2011177_c,A2011178_c,A2011179_c,A2011180_c,A2011181_c,A2011182_c,A2011175_s,A2011176_s,A2011177_s,A2011178_s,A2011179_s,A2011180_s,A2011181_s,A2011182_s,A2011175_t,A2011176_t,A2011177_t,A2011178_t,A2011179_t,A2011180_t,A2011181_t,A2011182_t,FID_2,centroidID,cent_x,cent_y
28,29,28.389,-92.6,1711,7/1/2011,11:30:00,262,25,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.2115,-64.21152537,1711,7/1/2011,0.479166667,0.22,0.01500477,1.15,0.01500477,3.06,0.01500477,33.63,0.01500477,29.28,0.01500477,0,0,0,0,0,0,0.405079991,0,27.71512413,0,28.85329819,28.89632797,27.60467911,29.26639557,29.46362114,0,0,0,0,0,0,0,0.062139999,0,157,11,-92.61525,28.343975
29,30,28.392,-92.664,1709,7/1/2011,11:28:01,260,59,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.2713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,12,-92.61525,28.343975
30,31,28.393,-92.576,1713,7/1/2011,11:30:04,264,30,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.1826,-64.18259863,1713,7/1/2011,0.479212963,0.22,0.03477353,1.15,0.03477353,3.06,0.03477353,33.63,0.03477353,29.28,0.03477353,0,0,0,0,0,0,0.347000003,0,27.80477333,0,28.90708542,28.92788506,0,29.3768425,29.4643383,0,0,0,0,0,0,0,0.056279998,0,157,13,-92.61525,28.343975
31,32,28.397,-92.68,1708,7/1/2011,11:27:04,259,33,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,"On the cross, resighting?",NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.2829,-64.28293071,1708,7/1/2011,0.47712963,0.23,0.00289757,1.15,0.00289757,3.03,0.00289757,33.6,0.00289757,29.27,0.00289757,0,0,0,0,0,0,0.422490001,0,27.76030731,0,28.9113903,28.78229713,27.79616737,29.50019836,29.33452797,28.09523392,0,0,0,0,0,0,0.0638,0,157,14,-92.61525,28.343975
41,42,28.409,-92.71,1707,7/1/2011,11:26:05,258,6,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,"On the cross, resights of 250 and 251",NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.3007,-64.30066443,1707,7/1/2011,0.476446759,0.23,0.03149077,1.15,0.03149077,3.03,0.03149077,33.6,0.03149077,29.27,0.03149077,0,0,0,0,0,0,0.466039985,0,0,0,28.79448891,28.50331116,27.92884636,29.67519188,29.42848015,29.30010414,0,0,0,0,0,0,0.067610003,0,157,15,-92.61525,28.343975
36,37,28.406,-92.483,1718,7/1/2011,11:33:03,269,22,R,LB,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,On the turn,NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,16,-92.41768333,28.343975
37,38,28.406,-92.482,635,6/28/2011,8:00:35,561,10,L,LB,Shrimp Trawler,1,Transiting,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,1,NA,NA,NA,NA,1,-64.0766,-64.07660652,635,6/28/2011,0.333738426,0.22,0.01343616,1.15,0.01343616,3.12,0.01343616,33.68,0.01343616,29.31,0.01343616,0,0,0,0,0,0,0.464060009,0,27.7703476,0,28.84899521,28.80596352,0,29.55040169,29.65654373,29.43493462,0,0,0,0,0,0,0.067469999,0,158,17,-92.41768333,28.343975
38,39,28.406,-92.482,635,6/28/2011,8:00:35,561,10,L,LB,Shrimp Trawler,1,Transiting,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,1,NA,NA,NA,NA,1,-64.0766,-64.07695294,1718,7/1/2011,0.481284722,0.22,0.01362723,1.15,0.01362723,3.12,0.01362723,33.68,0.01362723,29.31,0.01362723,0,0,0,0,0,0,0.464060009,0,27.7703476,0,28.84899521,28.80596352,0,29.55040169,29.65654373,29.43493462,0,0,0,0,0,0,0.067469999,0,158,18,-92.41768333,28.343975
33,34,28.404,-92.124,1196,6/30/2011,9:20:34,396,1,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,Z8,NA,NA,I,1,3,NA,NA,NA,NA,1,-63.7195,-63.71946666,1196,6/30/2011,0.389282407,0.22,0.00572429,1.15,0.00572429,3.26,0.00572429,33.8,0.00572429,29.36,0.00572429,0,0,0,0,0,0,0.501739979,0,0,0,28.6037178,28.64889908,27.94534111,29.49732971,29.67160606,30.37229538,0,0,0,0,0,0,0.070660003,0,159,19,-92.22011667,28.343975
34,35,28.405,-92.268,977,6/29/2011,2:14:43,185,21,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,2,2,NA,NA,NA,NA,1,-63.8636,-63.86364688,977,6/29/2011,0.093553241,0.22,0.00969014,1.15,0.00969014,3.2,0.00969014,33.75,0.00969014,29.34,0.00969014,0,0,0,0,0,0,0.646929979,0,0,0,28.92716789,28.97737122,27.92526054,29.82795143,29.76842499,0,0,0,0,0,0,0,0.081699997,0,159,20,-92.22011667,28.343975
