FID_1,Field1,a_lat,a_lon,Identifyin,Date,Time,Waypoint,Inclinomet,Sighting_S,Observer,Vessel_Sig,Number_Ves,Vessel_Act,Direction_,Associated,Animal_Sig,Number_in_,Species,School_Siz,Behavior,Notes,Line,Notes_1,Notes_Off_,Inbound_Ou,GlareL_Cat,GlareR_Cat,Sun_penetr,Air_Temp_C,Wind_direc,Wind_Speed,Cloud_Cove,location_x,location_y,Id,date_1,time_1,cdom,dist2cdom,chloro,dist2chlor,oxy,dist2oxy,salt,dist2salt,temp,dist2temp,A2011175_c,A2011176_c,A2011177_c,A2011178_c,A2011179_c,A2011180_c,A2011181_c,A2011182_c,A2011175_s,A2011176_s,A2011177_s,A2011178_s,A2011179_s,A2011180_s,A2011181_s,A2011182_s,A2011175_t,A2011176_t,A2011177_t,A2011178_t,A2011179_t,A2011180_t,A2011181_t,A2011182_t,FID_2,centroidID,cent_x,cent_y
161,162,28.561,-93.299,745,6/28/2011,10:41:04,671,25,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.7377,-64.73766505,745,6/28/2011,0.445185185,0.27,0.02382562,1.16,0.02382562,2.93,0.02382562,32.63,0.02382562,29.1,0.02382562,0,0,0,0,0,0,1.203500032,0,28.20711327,0,28.86190414,29.17101097,27.83489418,29.74834442,29.71248436,29.25133514,0,0,0,0,0,0,0.116839997,0,214,141,-93.20795,28.606875
172,173,28.58,-93.207,735,6/28/2011,10:36:01,661,25,L,LB,Shrimp Trawler,1,Trawling,N,No,NA,NA,NA,NA,NA,NA,20,NA,NA,I,1,3,NA,NA,NA,NA,1,-64.6277,-64.62767538,735,6/28/2011,0.441678241,0.29,0.04466162,1.16,0.04466162,3.03,0.04466162,32.28,0.04466162,29.08,0.04466162,0,0,0,0,0,0,1.244760036,0,28.0565052,0,28.86835861,29.26280975,28.04503059,29.7469101,29.70100975,29.49661255,0,0,0,0,0,0,0.119220003,0,214,142,-93.20795,28.606875
174,175,28.582,-93.297,744,6/28/2011,10:41:01,670,90,L,LB,Shrimp Trawler,1,Stationary,NA,NA,Fish,NA,Unidentified,NA,NA,"Exact Mark, left side sighting from person sitting in right seat",NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.7146,-64.71463333,744,6/28/2011,0.445150463,0.29,0.0306938,1.16,0.0306938,3.01,0.0306938,32.25,0.0306938,29.07,0.0306938,0,0,0,0,0,0,1.203500032,0,28.20711327,0,28.86190414,29.17101097,27.83489418,29.74834442,29.71248436,29.25133514,0,0,0,0,0,0,0.116839997,0,214,143,-93.20795,28.606875
179,180,28.6,-93.274,743,6/28/2011,10:40:02,669,90,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,Exact Mark,NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.6742,-64.67416666,743,6/28/2011,0.444467593,0.29,0.03561133,1.16,0.03561133,3.03,0.03561133,32.28,0.03561133,29.08,0.03561133,0,0,0,0,0,0,1.250040054,0,28.21356773,0,28.97808838,29.05841255,28.20783043,29.86309433,29.83010292,29.05124092,0,0,0,0,0,0,0.119560003,0,214,144,-93.20795,28.606875
184,185,28.603,-93.261,742,6/28/2011,10:40:00,668,90,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,Exact Mark,NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.6586,-64.6586,742,6/28/2011,0.444444444,0.29,0.0226314,1.16,0.0226314,3.03,0.0226314,32.28,0.0226314,29.08,0.0226314,0,0,0,0,0,0,1.250040054,0,28.21356773,0,28.97808838,29.05841255,28.20783043,29.86309433,29.83010292,29.05124092,0,0,0,0,0,0,0.119560003,0,214,145,-93.20795,28.606875
194,195,28.614,-93.267,741,6/28/2011,10:39:04,667,90,R,KC,Shrimp Trawler,School still,NA,NA,NA,NA,NA,NA,NA,NA,Shrimp School still,NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.6532,-64.65318334,741,6/28/2011,0.443796296,0.29,0.02740045,1.16,0.02740045,3.03,0.02740045,32.28,0.02740045,29.08,0.02740045,0,0,0,0,0,0,1.250040054,0,28.21356773,0,28.97808838,29.05841255,28.20783043,29.86309433,29.83010292,29.05124092,0,0,0,0,0,0,0.119560003,0,214,146,-93.20795,28.606875
199,200,28.617,-93.175,737,6/28/2011,10:37:01,663,4,R,KC,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,"Again, maybe we already got these",20,NA,NA,I,1,3,NA,NA,NA,NA,1,-64.5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,147,-93.20795,28.606875
205,206,28.625,-93.191,738,6/28/2011,10:37:03,664,11,R,KC,Shrimp Trawler,1,Transiting,S,NA,NA,NA,NA,NA,NA,"Again, maybe we already got these",20,NA,NA,I,1,3,NA,NA,NA,NA,1,-64.566,-64.5660776,738,6/28/2011,0.442395833,0.29,0.02541232,1.16,0.02541232,3.06,0.02541232,32.3,0.02541232,29.09,0.02541232,0,0,0,0,0,0,1.20077002,0,27.94103813,0,28.91210747,29.16527367,28.0371418,29.71391869,29.92190361,29.5403614,0,0,0,0,0,0,0.116690002,0,214,148,-93.20795,28.606875
211,212,28.634,-93.267,740,6/28/2011,10:39:01,666,90,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,Exact Mark,NA,NA,Off effort,NA,1,3,NA,NA,NA,NA,1,-64.6329,-64.63286667,740,6/28/2011,0.443761574,0.29,0.0362841,1.16,0.0362841,3.03,0.0362841,32.28,0.0362841,29.08,0.0362841,0,0,0,0,0,0,1.601709962,0,27.98693848,0,28.97019958,28.97952271,27.99267578,29.43923759,30.05314636,29.52529907,0,0,0,0,0,0,0.139479995,0,214,149,-93.20795,28.606875
133,134,28.542,-93.104,732,6/28/2011,10:33:02,658,13,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,1,NA,NA,NA,NA,2,-64.5615,-64.56154997,732,6/28/2011,0.439606481,0.27,0.00430667,1.16,0.00430667,3.02,0.00430667,32.7,0.00430667,29.14,0.00430667,0,0,0,0,0,0,1.127460003,0,28.22504425,0,28.86548996,29.07203865,27.98980713,29.79711342,29.85090256,29.39764023,0,0,0,0,0,0,0.112329997,0,215,150,-93.01038333,28.606875
176,177,28.587,-92.991,729,6/28/2011,10:28:04,655,8,R,KC,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.404,-64.40396808,729,6/28/2011,0.436157407,0.29,0.0386222,1.16,0.0386222,3.14,0.0386222,32.38,0.0386222,29.13,0.0386222,0,0,0,0,1.321969986,0,1.193480015,0,28.0701313,0,28.96374321,29.01394653,28.3856926,29.56474495,30.19443512,0,0,0,0,0,0.1237,0,0.116230004,0,215,151,-93.01038333,28.606875
212,213,28.634,-92.936,728,6/28/2011,10:27:02,654,2,L,LB,Shrimp Trawler,1,Trawling,E,Unknown,NA,NA,NA,NA,NA,NA,19,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.3013,-64.30125053,728,6/28/2011,0.435439815,0.29,0.03447116,1.16,0.03447116,3.14,0.03447116,32.38,0.03447116,29.13,0.03447116,0,0,0,0,1.202209949,0,1.395110011,0,28.04216194,0,29.05626106,29.00605774,28.65822411,29.73758698,30.12486649,29.71965599,0,0,0,0,0.11671,0,0.127910003,0,215,152,-93.01038333,28.606875
138,139,28.544,-92.817,1599,7/1/2011,10:05:05,159,3,R,LB,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,I,1,3,NA,NA,NA,NA,2,-64.2732,-64.27312653,1599,7/1/2011,0.420196759,0.27,0.00493697,1.16,0.00493697,3.13,0.00493697,32.8,0.00493697,29.18,0.00493697,0,0,0,0,0.552860022,0,1.018169999,0,27.83489418,0,28.88270187,28.60228348,28.26807404,29.62068558,29.98716736,0,0,0,0,0,0.074330002,0,0.105669998,0,216,153,-92.81281667,28.606875
143,144,28.55,-92.781,679,6/28/2011,9:16:01,605,3,L,LB,Shrimp Trawler,1,Trawling,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,1,NA,NA,NA,NA,1,-64.2303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,154,-92.81281667,28.606875
167,168,28.569,-92.812,1601,7/1/2011,10:06:04,161,3,R,LB,Shrimp Trawler,1,Transiting,E,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,I,1,3,NA,NA,NA,NA,2,-64.243,-64.243074,1601,7/1/2011,0.42087963,0.27,0.03031868,1.16,0.03031868,3.13,0.03031868,32.8,0.03031868,29.18,0.03031868,0,0,0,0,0.552860022,0,1.018169999,0,27.83489418,0,28.88270187,28.60228348,28.26807404,29.62068558,29.98716736,0,0,0,0,0,0.074330002,0,0.105669998,0,216,155,-92.81281667,28.606875
173,174,28.581,-92.866,681,6/28/2011,9:17:49,607,2,L,LB,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,"Wings out, no trail, on the turn",NA,NA,NA,C,1,1,NA,NA,NA,NA,1,-64.2849,-64.28496014,681,6/28/2011,0.387372685,0.29,0.03815296,1.16,0.03815296,3.17,0.03815296,32.4,0.03815296,29.14,0.03815296,0,0,0,0,0.71329999,0,1.184859991,0,27.79329872,0,28.77655792,28.94366264,28.35126877,29.67806053,30.03378296,29.37971115,0,0,0,0,0.086130001,0,0.115709998,0,216,156,-92.81281667,28.606875
177,178,28.593,-92.797,680,6/28/2011,9:16:48,606,8,R,KC,Shrimp Trawler,1,Transiting,ESE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,1,NA,NA,NA,NA,1,-64.204,-64.20398193,680,6/28/2011,0.386666667,0.29,0.02876891,1.16,0.02876891,3.2,0.02876891,32.43,0.02876891,29.15,0.02876891,0,0,0,0,0.611490011,0,0.635649979,0,27.95466423,0,28.8977623,28.80883217,28.26520538,29.57048225,30.16000748,28.65678787,0,0,0,0,0.078950003,0,0.080779999,0,216,157,-92.81281667,28.606875
171,172,28.576,-92.709,1694,7/1/2011,11:19:03,246,8,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.1332,-64.13327044,1694,7/1/2011,0.4715625,0.28,0.04491273,1.16,0.04491273,3.26,0.04491273,32.48,0.04491273,29.17,0.04491273,0,0,0,0,0.518909991,0,0.627939999,0,27.87864304,0,28.89561081,28.80166054,28.33979225,29.47581482,29.910429,28.68977928,0,0,0,0,0.072070003,0,0.080300003,0,217,158,-92.61525,28.606875
175,176,28.586,-92.704,676,6/28/2011,9:13:31,602,8,R,KC,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.118,-64.11805378,676,6/28/2011,0.384386574,0.28,0.03397935,1.16,0.03397935,3.26,0.03397935,32.48,0.03397935,29.17,0.03397935,0,0,0,0,0.610509992,0,0.586600006,0,27.92382622,0,28.88485336,28.93577385,28.27237701,29.48083496,29.96206474,29.78635597,0,0,0,0,0.079000004,0,0.077310003,0,217,159,-92.61525,28.606875
181,182,28.602,-92.694,675,6/28/2011,9:12:58,601,13,R,KC,Shrimp Trawler,1,Transiting,WSW,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.092,-64.09204224,675,6/28/2011,0.38400463,0.28,0.01600867,1.16,0.01600867,3.26,0.01600867,32.48,0.01600867,29.17,0.01600867,0,0,0,0,0.610509992,0,0.586600006,0,27.92382622,0,28.88485336,28.93577385,28.27237701,29.48083496,29.96206474,29.78635597,0,0,0,0,0.079000004,0,0.077310003,0,217,160,-92.61525,28.606875
190,191,28.611,-92.682,1691,7/1/2011,11:18:01,243,32,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.0717,-64.07163582,1691,7/1/2011,0.470844907,0.28,0.00233249,1.16,0.00233249,3.26,0.00233249,32.48,0.00233249,29.17,0.00233249,0,0,0,0,0.610509992,0,0.586600006,0,27.92382622,0,28.88485336,28.93577385,28.27237701,29.48083496,29.96206474,29.78635597,0,0,0,0,0.079000004,0,0.077310003,0,217,161,-92.61525,28.606875
195,196,28.614,-92.688,674,6/28/2011,9:12:32,600,14,R,KC,Shrimp Trawler,1,Anchored,NA,No,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.0745,-64.0745529,674,6/28/2011,0.383703704,0.28,0.00915613,1.16,0.00915613,3.26,0.00915613,32.48,0.00915613,29.17,0.00915613,0,0,0,0,0.610509992,0,0.586600006,0,27.92382622,0,28.88485336,28.93577385,28.27237701,29.48083496,29.96206474,29.78635597,0,0,0,0,0.079000004,0,0.077310003,0,217,162,-92.61525,28.606875
206,207,28.625,-92.683,1689,7/1/2011,11:17:04,241,17,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.0588,-64.05882593,1689,7/1/2011,0.470185185,0.28,0.01507321,1.16,0.01507321,3.26,0.01507321,32.48,0.01507321,29.17,0.01507321,0,0,0,0,0.610509992,0,0.586600006,0,27.92382622,0,28.88485336,28.93577385,28.27237701,29.48083496,29.96206474,29.78635597,0,0,0,0,0.079000004,0,0.077310003,0,217,163,-92.61525,28.606875
215,216,28.644,-92.657,1687,7/1/2011,11:16:05,239,6,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.0136,-64.01364506,1687,7/1/2011,0.469502315,0.28,0.04060746,1.16,0.04060746,3.26,0.04060746,32.48,0.04060746,29.17,0.04060746,0,0,0,0,0.790069997,0,0.572309971,0,27.97689819,0,28.78229713,28.94294548,28.34696579,29.42202568,30.05314636,28.76651764,0,0,0,0,0.09138,0,0.076229997,0,217,164,-92.61525,28.606875
220,221,28.656,-92.659,1686,7/1/2011,11:16:03,238,12,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,O,3,1,NA,NA,NA,NA,1,-64.0029,-64.00296228,1686,7/1/2011,0.469479167,0.3,0.03166377,1.17,0.03166377,3.33,0.03166377,32.1,0.03166377,29.14,0.03166377,0,0,0,0,0.790069997,0,0.572309971,0,27.97689819,0,28.78229713,28.94294548,28.34696579,29.42202568,30.05314636,28.76651764,0,0,0,0,0.09138,0,0.076229997,0,217,165,-92.61525,28.606875
225,226,28.666,-92.543,642,6/28/2011,8:09:30,568,1,L,LB,Shrimp Trawler,1,Stationary,NA,Unknown,NA,NA,NA,NA,NA,NA,16,NA,NA,I,1,3,NA,NA,NA,NA,1,-63.8773,-63.87732597,642,6/28/2011,0.339930556,0.3,0.01438111,1.17,0.01438111,3.38,0.01438111,32.15,0.01438111,29.17,0.01438111,0,0,0,0,0.613189995,0,0.62312001,0,27.83632851,0,28.9329052,28.9465313,28.41222954,29.48226929,30.12988663,30.14494705,0,0,0,0,0.079240002,0,0.079960003,0,217,166,-92.61525,28.606875
189,190,28.61,-92.424,1727,7/1/2011,11:40:00,278,35,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,I,1,3,NA,NA,NA,NA,1,-63.814,-63.81398428,1727,7/1/2011,0.486111111,0.28,0.02423409,1.16,0.02423409,3.37,0.02423409,32.58,0.02423409,29.22,0.02423409,0,0.643320024,0,0,0,0,0.63459003,0,27.80979347,0,28.97808838,28.80883217,28.16838646,29.52960205,29.99864197,30.53007507,0,0.081459999,0,0,0,0,0.080799997,0,218,167,-92.41768333,28.606875
200,201,28.617,-92.435,1728,7/1/2011,11:40:01,279,8,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,I,1,3,NA,NA,NA,NA,1,-63.8177,-63.81763498,1728,7/1/2011,0.486122685,0.28,0.03523701,1.16,0.03523701,3.37,0.03523701,32.58,0.03523701,29.22,0.03523701,0,0.643320024,0,0,0,0,0.63459003,0,27.80979347,0,28.97808838,28.80883217,28.16838646,29.52960205,29.99864197,30.53007507,0,0.081459999,0,0,0,0,0.080799997,0,218,168,-92.41768333,28.606875
137,138,28.543,-92.198,1373,6/30/2011,11:23:00,566,1,R,KC,Shrimp Trawler,11,NA,NA,NA,NA,NA,NA,NA,NA,"Off effort, 2-10 miles seaward, some question on number",NA,On the cross,Off Effort,C,NA,NA,NA,NA,NA,NA,1,-63.6547,-63.65475,1373,6/30/2011,0.474305556,0.26,0.00841831,1.16,0.00841831,3.38,0.00841831,33.03,0.00841831,29.29,0.00841831,0,0,0,0,0,0,0.609399974,0.468369991,27.85497665,0,29.05267525,29.02470398,28.61375809,29.68021202,30.04956055,30.56593704,0,0,0,0,0,0,0.079000004,0.0678,219,169,-92.22011667,28.606875
142,143,28.549,-92.246,631,6/28/2011,7:52:18,557,5,L,LB,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,O,3,1,NA,NA,NA,NA,1,-63.6974,-63.69738715,631,6/28/2011,0.327986111,0.26,0.01632767,1.16,0.01632767,3.35,0.01632767,33,0.01632767,29.28,0.01632767,0,0.47428,0,0,0,0,0.597769976,0,27.87218857,0,29.1100502,29.08709908,28.52912903,29.92548943,29.94987297,30.41891098,0,0.06893,0,0,0,0,0.078100003,0,219,170,-92.22011667,28.606875
207,208,28.628,-92.203,969,6/29/2011,2:03:10,177,8,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,O,1,2,NA,NA,NA,NA,1,-63.5745,-63.57445237,969,6/29/2011,0.085532407,0.28,0.02230237,1.16,0.02230237,3.45,0.02230237,32.65,0.02230237,29.26,0.02230237,0,0,0,0,1.362020016,0,0.972100019,0,28.07658577,0,28.7887516,29.11937332,28.83178139,30.15355301,30.70650482,30.5939064,0,0,0,0,0.124200001,0,0.102509998,0,219,171,-92.22011667,28.606875
163,164,28.564,-92.004,602,6/27/2011,12:04:02,528,3,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,I,1,3,NA,NA,NA,NA,2,-63.4401,-63.44005714,602,6/27/2011,0.502800926,0.26,0.0336059,1.16,0.0336059,3.46,0.0336059,33.1,0.0336059,29.32,0.0336059,0,0.589460015,0,0,0.330980003,0,1.934010029,0,0,0,28.9874115,28.8511467,28.6933651,29.86381149,30.70865631,31.40719223,0,0.077679999,0,0,0.054499999,0,0.157930002,0,220,172,-92.02255,28.606875
209,210,28.631,-92.019,603,6/27/2011,12:05:05,529,5,L,CW,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,I,1,3,NA,NA,NA,NA,2,-63.3884,-63.38834851,603,6/27/2011,0.503530093,0.28,0.03723434,1.16,0.03723434,3.5,0.03723434,32.7,0.03723434,29.28,0.03723434,0,0.688920021,0,0,4.049520016,0,3.778939962,2.132849932,0,0,29.07849312,29.13586807,28.78157806,30.0682106,30.87934494,31.54273987,0,0.085320003,0,0,0.279300004,0,0.262769997,0.169599995,220,173,-92.02255,28.606875
196,197,28.614,-91.793,591,6/27/2011,11:50:00,517,7,R,LB,Shrimp Trawler,1,Transiting,Unknown,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,O,2,1,NA,NA,NA,NA,2,-63.1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,174,-91.82498333,28.606875
180,181,28.6,-91.637,1404,6/30/2011,12:31:04,595,1,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-63.0368,-63.03673603,1404,6/30/2011,0.521574074,0.34,0.01197804,1.16,0.01197804,3.42,0.01197804,31.22,0.01197804,29.53,0.01197804,0,1.104110003,0,0,1.367830038,0,1.034500003,0,28.70197105,0,29.00318909,28.95585442,28.52984619,28.32975197,30.57597733,30.41962814,0,0.11197,0,0,0.125530005,0,0.105750002,0,222,175,-91.62741667,28.606875
185,186,28.603,-91.594,1405,6/30/2011,12:32:00,596,2,L,LB,Shrimp Trawler,1,Transiting,SSW,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-62.9905,-62.99051275,1405,6/30/2011,0.522222222,0.39,0.03424791,1.17,0.03424791,3.29,0.03424791,30.22,0.03424791,29.61,0.03424791,0,1.204820037,0,0,5.964739799,0,0.754369974,0,28.83249855,0,29.12224197,28.86692429,28.60156631,0,30.28479767,31.18199539,0,0.11727,0,0,0.393000007,0,0.089089997,0,222,176,-91.62741667,28.606875
193,194,28.613,-91.569,1406,6/30/2011,12:32:03,597,4,L,LB,Shrimp Trawler,1,Transiting,SSW,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-62.9558,-62.95586412,1406,6/30/2011,0.522256944,0.39,0.0094345,1.17,0.0094345,3.29,0.0094345,30.22,0.0094345,29.61,0.0094345,0,0,0,0,8.634690285,0,0.802670002,0,28.83608437,0,29.03187561,29.01179504,28.86764145,0,30.12486649,30.94245911,0,0,0,0,0.563799977,0,0.092100002,0,222,177,-91.62741667,28.606875
217,218,28.647,-91.535,1408,6/30/2011,12:33:05,599,5,NA,NA,Shrimp Trawler,1,Trawling,SW,NA,NA,NA,NA,NA,NA,NA,12,Shrimp Trawler,Off effort,NA,1,3,NA,NA,NA,NA,1,-62.888,-62.88795,1408,6/30/2011,0.522974537,0.41,0.04112713,1.17,0.04112713,3.25,0.04112713,29.48,0.04112713,29.46,0.04112713,0,0,0,0,15.6352396,0,1.546689987,0,28.70340538,0,29.26280975,29.14088821,28.99028015,27.98980713,0,30.89942551,0,0,0,0,1.079570055,0,0.136529997,0,222,178,-91.62741667,28.606875
221,222,28.657,-91.534,1411,6/30/2011,12:34:01,601,30,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-62.8769,-62.87694153,1411,6/30/2011,0.523622685,0.41,0.03519619,1.17,0.03519619,3.25,0.03519619,29.48,0.03519619,29.46,0.03519619,0,0,0,0,15.6352396,0,1.546689987,0,28.70340538,0,29.26280975,29.14088821,28.99028015,27.98980713,0,30.89942551,0,0,0,0,1.079570055,0,0.136529997,0,222,179,-91.62741667,28.606875
228,229,28.671,-91.538,1412,6/30/2011,12:34:03,602,11,L,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-62.8671,-62.86708838,1412,6/30/2011,0.523645833,0.41,0.02423229,1.17,0.02423229,3.25,0.02423229,29.48,0.02423229,29.46,0.02423229,0,1.772160053,0,0,16.3181591,0,3.292150021,0,28.77225494,0,29.0749073,29.14160538,29.13801956,0,30.13275528,31.46026611,0,0.154699996,0,0,1.130370021,0,0.235039994,0,222,180,-91.62741667,28.606875
162,163,28.563,-91.483,1403,6/30/2011,12:31:04,594,1,R,KC,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,I,2,2,NA,NA,NA,NA,1,-62.92,-62.91996397,1403,6/30/2011,0.521574074,0.25,0.02412566,1.16,0.02412566,3.65,0.02412566,33.28,0.02412566,29.41,0.02412566,0,0,0,0,6.98348999,0,1.249619961,0,28.68475914,0,28.78373146,29.07921028,28.73209381,28.39501572,30.17865372,30.61398697,0,0,0,0,0.457130015,0,0.119070001,0,223,181,-91.42985,28.606875
182,183,28.602,-91.38,546,6/27/2011,10:47:02,473,90,NA,NA,Shrimp Trawler,1,NA,NA,NA,NA,NA,NA,NA,NA,Circle of Shrimpers,NA,NA,Off effort,NA,3,1,NA,NA,NA,NA,1,-62.7779,-62.77785,546,6/27/2011,0.449328704,0.51,0.03120221,1.18,0.03120221,2.88,0.03120221,27.81,0.03120221,29.76,0.03120221,0,0,0,0,0,0,4.888070107,0,28.89991379,0,28.59224129,29.23770905,28.81241798,29.37827682,31.09521866,31.11099625,0,0,0,0,0,0,0.327470005,0,223,182,-91.42985,28.606875
183,184,28.602,-91.369,547,6/27/2011,10:47:03,474,90,NA,NA,Shrimp Trawler,1,NA,NA,NA,NA,NA,NA,NA,NA,Circle of Shrimpers,NA,NA,Off effort,NA,3,1,NA,NA,NA,NA,1,-62.7662,-62.76621667,547,6/27/2011,0.449340278,0.51,0.02013572,1.18,0.02013572,2.88,0.02013572,27.81,0.02013572,29.76,0.02013572,0,0,0,0,0,0,5.68614006,0,28.83034706,0,28.85975266,28.86405563,28.63240433,28.56140327,31.10956192,30.87934494,0,0,0,0,0,0,0.375880003,0,223,183,-91.42985,28.606875
186,187,28.604,-91.396,545,6/27/2011,10:47:00,472,90,NA,NA,Shrimp Trawler,1,NA,NA,NA,NA,NA,NA,NA,NA,Circle of Shrimpers,NA,NA,Off effort,NA,3,1,NA,NA,NA,NA,1,-62.7919,-62.79195,545,6/27/2011,0.449305556,0.49,0.02436416,1.17,0.02436416,3.04,0.02436416,28.23,0.02436416,29.78,0.02436416,0,0,0,0,0,0,4.888070107,0,28.89991379,0,28.59224129,29.23770905,28.81241798,29.37827682,31.09521866,31.11099625,0,0,0,0,0,0,0.327470005,0,223,184,-91.42985,28.606875
187,188,28.605,-91.359,548,6/27/2011,10:47:05,475,90,NA,NA,Shrimp Trawler,1,NA,NA,NA,NA,NA,NA,NA,NA,Circle of Shrimpers,NA,NA,Off effort,NA,3,1,NA,NA,NA,NA,1,-62.7544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,185,-91.42985,28.606875
188,189,28.608,-91.345,549,6/27/2011,10:48:00,476,90,NA,NA,Shrimp Trawler,1,NA,NA,NA,NA,NA,NA,NA,NA,Circle of Shrimpers,NA,NA,Off effort,NA,3,1,NA,NA,NA,NA,1,-62.7369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,186,-91.42985,28.606875
