,a_lat,a_lon,Identifying_Number
209,28.631,-93.858,815
210,28.631,-92.019,603
211,28.633,-91.321,1203
212,28.634,-93.267,740
213,28.634,-92.936,728
214,28.634,-91.412,543
215,28.636,-91.32,161
216,28.644,-92.657,1687
217,28.646,-91.407,542
218,28.647,-91.535,1408
219,28.648,-89.672,341
220,28.652,-89.675,342
221,28.656,-92.659,1686
222,28.657,-91.534,1411
223,28.657,-91.396,541
224,28.658,-89.689,343
225,28.665,-91.381,162
226,28.666,-92.543,642
227,28.666,-91.323,1208
228,28.668,-91.517,1413
229,28.671,-91.538,1412
230,28.674,-91.323,534
231,28.675,-91.376,540
232,28.677,-91.327,1209
233,28.68,-89.668,304
234,28.682,-91.365,539
235,28.683,-91.692,1243
236,28.684,-91.361,538
237,28.685,-89.643,339
238,28.686,-92.964,727
239,28.686,-91.517,1415
240,28.686,-91.356,537
241,28.688,-91.352,536
242,28.689,-91.35,535
243,28.695,-91.72,1394
244,28.698,-90.255,82
245,28.7,-92.645,1685
246,28.702,-90.284,81
247,28.704,-89.683,338
248,28.705,-91.515,1418
249,28.709,-92.449,643
250,28.71,-89.58,301
251,28.714,-90.259,80
252,28.722,-90.855,124
253,28.722,-90.259,79
254,28.729,-90.196,380
255,28.732,-90.231,78
256,28.739,-90.11,52
257,28.745,-90.112,53
258,28.749,-90.154,379
259,28.754,-90.115,54
260,28.756,-92.148,964
261,28.756,-90.115,55
262,28.757,-89.96,357
263,28.759,-90.116,56
264,28.762,-90.003,356
265,28.764,-91.359,1222
266,28.772,-92.628,671
267,28.773,-89.934,47
268,28.783,-93.064,1581
269,28.79,-90.462,302
270,28.791,-90.244,77
271,28.794,-92.958,1579
272,28.805,-91.336,1224
273,28.805,-90.335,399
274,28.811,-91.641,1392
275,28.812,-89.95,360
276,28.815,-91.667,587
277,28.857,-89.857,361
278,28.866,-92.956,1577
279,28.867,-91.668,1389
280,28.875,-90.712,438
281,28.877,-92.253,1292
282,28.877,-91.69,1388
283,28.88,-89.515,299
284,28.881,-92.337,1738
285,28.883,-90.04,362
286,28.886,-89.599,4
287,28.893,-90.144,59
288,28.899,-90.151,60
289,28.899,-89.42,295
290,28.9,-93.191,765
291,28.903,-89.471,296
292,28.914,-92.175,1288
293,28.916,-89.707,306
294,28.931,-93.198,766
295,28.932,-89.078,292
296,28.935,-91.12,519
297,28.935,-89.638,6
298,28.936,-89.731,333
299,28.946,-92.934,1572
300,28.948,-90.52,414
301,28.949,-92.942,1571
302,28.954,-92.944,1570
303,28.961,-92.926,1569
304,28.964,-91.097,520
305,28.965,-92.979,1568
306,28.966,-92.933,1567
307,28.97,-92.121,1287
308,28.971,-92.792,1338
309,28.976,-92.962,1566
310,28.978,-92.964,720
311,28.978,-91.257,165
312,28.98,-93.425,926
313,28.983,-92.864,1564
314,28.983,-90.331,75
315,28.985,-92.951,1565
316,28.985,-92.924,1563
317,28.987,-91.859,453
318,28.991,-90.021,1025
319,28.992,-92.725,1334
320,28.993,-93.171,769
321,28.995,-92.956,719
322,28.997,-93.167,770
323,29,-90.85,130
324,29.001,-90.412,1472
325,29.002,-91.096,522
326,29.004,-92.835,1343
327,29.004,-92.759,1623
328,29.005,-93.177,771
329,29.006,-93.128,773
330,29.006,-90.369,1469
331,29.006,-89.594,310
332,29.007,-93.156,772
333,29.013,-92.806,1343
334,29.013,-90.208,1029
335,29.014,-89.976,20
336,29.015,-90.356,1467
337,29.015,-89.007,291
338,29.02,-88.922,335
339,29.021,-92.973,717
340,29.021,-92.938,1562
341,29.023,-92.356,1310
342,29.023,-90.734,105
343,29.024,-90.344,1465
344,29.024,-89.799,15
345,29.025,-90.762,104
346,29.025,-90.665,441
347,29.026,-90.357,1466
348,29.027,-90.435,1473
349,29.029,-93.023,718
350,29.029,-91.087,133
351,29.029,-90.372,1468
352,29.029,-90.32,1463
353,29.029,-89.026,290
354,29.032,-92.966,716
355,29.032,-90.665,442
356,29.034,-90.183,67
357,29.035,-90.543,408
358,29.037,-90.543,407
359,29.039,-90.694,443
360,29.04,-93.167,775
361,29.04,-90.874,131
362,29.04,-90.702,444
363,29.04,-90.548,406
364,29.042,-90.019,365
365,29.042,-88.948,336
366,29.043,-90.753,449
367,29.044,-90.704,445
368,29.044,-90.5,94
369,29.045,-90.656,100
370,29.046,-90.673,103
371,29.046,-90.316,1461
372,29.046,-90.302,1460
373,29.047,-90.191,68
374,29.048,-90.26,1454
375,29.049,-90.332,74
376,29.05,-90.709,446
377,29.052,-90.71,447
378,29.053,-92.984,714
379,29.054,-90.552,405
380,29.054,-90.55,96
381,29.055,-90.668,102
382,29.055,-90.284,1458
383,29.056,-90.29,1459
384,29.056,-88.93,286
385,29.056,-88.93,285
386,29.061,-92.955,713
387,29.063,-90.618,98
388,29.065,-90.562,97
389,29.066,-91.922,1274
390,29.066,-91.921,1274
391,29.066,-90.531,95
392,29.066,-90.267,1453
393,29.067,-90.28,1455
394,29.067,-90.26,1452
395,29.069,-91.523,1303
396,29.071,-90.233,1447
397,29.072,-91.232,168
398,29.072,-90.639,99
399,29.074,-90.222,34
400,29.075,-90.227,35
401,29.076,-90.259,1451
402,29.076,-90.252,1450
403,29.076,-90.193,69
404,29.082,-90.25,72
405,29.083,-90.248,36
406,29.085,-90.258,37
407,29.087,-93.163,777
408,29.087,-90.268,39
409,29.087,-90.264,38
410,29.091,-90.668,101
411,29.091,-90.195,70
412,29.093,-90.196,33
413,29.094,-92.908,712
414,29.102,-90.177,377
415,29.102,-90.177,376
416,29.105,-92.943,711
417,29.106,-90.192,71
418,29.106,-90.192,71
419,29.11,-91.917,619
420,29.114,-92.916,710
421,29.117,-90.177,32
422,29.12,-90.106,31
423,29.123,-90.116,30
424,29.125,-88.633,276
425,29.127,-91.909,618
426,29.13,-91.726,999
427,29.138,-91.505,578
428,29.141,-90.407,307
429,29.142,-90.117,29
430,29.142,-90.107,28
431,29.144,-92.951,709
432,29.149,-90.098,27
433,29.15,-91.522,577
434,29.151,-91.105,524
435,29.153,-91.532,576
436,29.155,-90.098,26
437,29.158,-90.058,42
438,29.158,-90.058,42
439,29.16,-90.038,368
440,29.162,-90.045,43
441,29.163,-90.082,25
442,29.163,-90.045,369
443,29.164,-90.077,24
444,29.168,-90.044,371
445,29.168,-90.044,370
446,29.17,-90.065,23
447,29.17,-90.053,372
448,29.171,-92.319,649
449,29.183,-92.328,650
450,29.183,-90.049,373
451,29.187,-91.105,527
452,29.188,-91.884,959
453,29.19,-91.893,960
454,29.19,-91.687,611
455,29.2,-92.263,1758
456,29.2,-91.62,1514
457,29.201,-88.779,274
458,29.205,-89.588,315
459,29.208,-92.426,663
460,29.212,-89.566,316
461,29.218,-92.421,1664
462,29.218,-92.257,1759
463,29.221,-92.349,1661
464,29.221,-92.349,1662
465,29.225,-92.263,1760
466,29.225,-91.531,1513
467,29.231,-92.251,1762
468,29.232,-92.264,1761
469,29.235,-92.398,1660
470,29.237,-92.404,1659
471,29.237,-92.338,1764
472,29.237,-92.338,1763
473,29.238,-92.247,1765
474,29.242,-91.631,1001
475,29.242,-89.705,321
476,29.244,-89.605,318
477,29.247,-92.447,1663
478,29.249,-89.655,1008
479,29.252,-92.403,662
480,29.252,-91.633,1002
481,29.253,-92.336,1656
482,29.258,-92.251,1766
483,29.259,-92.237,1767
484,29.26,-89.643,1007
485,29.264,-92.372,1656
486,29.267,-92.285,651
487,29.268,-92.337,1521
488,29.27,-92.411,1657
489,29.27,-92.39,1656
490,29.279,-92.214,1770
491,29.28,-93.676,883
492,29.28,-93.658,884
493,29.28,-92.237,1769
494,29.281,-93.691,885
495,29.283,-92.401,1525
496,29.283,-92.241,1768
497,29.285,-89.678,10
498,29.288,-92.387,1524
499,29.29,-92.919,705
500,29.294,-93.668,882
501,29.295,-92.401,1526
502,29.299,-91.625,613
503,29.306,-93.649,881
504,29.321,-92.357,1522
505,29.326,-92.479,1529
506,29.331,-92.262,653
507,29.336,-93.663,880
508,29.336,-92.396,661
509,29.337,-93.691,880
510,29.337,-93.668,880
511,29.347,-93.675,879
512,29.35,-92.366,1654
513,29.361,-92.963,703
514,29.364,-93.823,851
515,29.367,-93.647,877
516,29.369,-93.662,876
517,29.372,-92.268,1374
518,29.375,-92.57,1372
519,29.376,-93.674,875
520,29.38,-92.716,1371
521,29.383,-92.94,1558
522,29.383,-92.774,1370
523,29.385,-93.627,874
524,29.392,-92.444,1653
525,29.398,-92.387,1652
526,29.398,-92.343,1651
527,29.404,-90.356,314
528,29.408,-93.139,782
529,29.411,-89.599,288
530,29.413,-92.361,1650
531,29.426,-89.583,289
532,29.427,-93.428,940
533,29.434,-93.421,941
534,29.434,-93.419,942
535,29.439,-92.591,1538
536,29.454,-93.419,944
537,29.467,-93.414,945
538,29.47,-93.417,946
539,29.471,-91.629,132
540,29.476,-92.611,1636
541,29.477,-92.35,658
542,29.482,-92.328,657
543,29.511,-92.274,952
544,29.512,-92.306,951
545,29.555,-92.893,699
546,29.567,-90.796,1471
547,29.57,-90.79,1470
548,29.61,-93.644,867
549,29.62,-93.649,866
550,29.651,-92.871,1543
551,29.653,-92.896,1548
552,29.732,-93.636,864
553,29.772,-91.103,451
554,29.963,-88.384,227
555,29.974,-88.361,226
556,29.985,-88.35,225
557,29.999,-88.358,224
558,30.023,-88.348,222
559,30.035,-88.352,221
560,30.041,-88.347,220
561,30.049,-88.37,219
562,30.136,-89.796,322
563,30.224,-89.118,223
564,30.237,-88.35,211
565,30.246,-88.17,201
566,30.25,-88.35,210
